ResponseId,Age,Gender ,Postcode,Edu Level,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,BIS,BAS,Frame
R_3DhfdFqkYnouJ4p,67,1,3188,1,4,4,4,4,4.583333333,3,2.384615385,Positive
R_2ZIeQ2Rq7P23Y1x,68,1,2913,5,1,5,5,5,3.083333333,2.857142857,3.076923077,Negative
R_SH0plTtZRiMGNLr,24,2,3184,4,4,5,5,1,3.666666667,2.857142857,3.230769231,Negative
R_2y1km7b52ILB6Ru,69,2,3075,2,3,5,4,4,2.583333333,2.714285714,2.307692308,Negative
R_3PNCh0uDkhyrI1W,67,1,3220,4,4,5,5,3,2.083333333,2.714285714,3.230769231,Positive
R_AKAaC5Skg0WTkC5,34,1,5207,3,4,4,4,1,3.5,2.571428571,3,Negative
R_2YKaFnZpWJroZXg,59,2,4304,3,3,3,2,1,3.25,3.428571429,3.076923077,Negative
R_2WuMD42RA7Lwc6M,71,1,4031,1,5,4,5,1,3.083333333,3,2.461538462,Positive
R_1hWub81OhwdyHy1,70,1,3034,2,4,2,5,1,4.666666667,2.857142857,2.692307692,Positive
R_C1zzad9aeefa5kB,28,1,2557,3,1,3,1,1,4.5,3.571428571,4,Positive
R_2UViZoKBf7KVA2y,48,1,2142,5,3,4,5,2,2.5,3.142857143,3.538461538,Negative
R_qIKyqgZUju6xyvf,61,1,3172,2,2,2,2,1,6,3,2.076923077,Negative
R_8fcgAjB3ytBcFXP,53,1,5114,1,4,5,5,4,2.333333333,2.571428571,3,Positive
R_1l5cM4e3cdSKBnI,38,2,2088,2,4,4,4,4,3.666666667,2.714285714,3.153846154,Positive
R_1q4F7jCDmcMRvkn,21,2,3114,2,2,3,3,3,3.416666667,2.571428571,2.769230769,Positive
R_3dWjfvHg6kUn7K2,75,1,2076,3,5,5,5,2,1.833333333,3,2.769230769,Positive
R_BVscDq8UyEe5yjn,53,1,2528,3,3,5,4,5,2.416666667,2.428571429,3,Positive
R_3snaE4iMMv4DyVw,35,2,4124,3,2,4,4,1,3.083333333,2.857142857,2.461538462,Negative
R_3g0fvqFCbMEA3Jp,50,1,2518,4,3,3,4,2,3.333333333,2.571428571,2.846153846,Negative
R_24udjFiD5mFVtTW,20,1,6055,4,3,2,3,4,3.5,2.428571429,2.769230769,Negative
R_qDFN4K5a2iOmaU9,22,2,4213,3,3,1,1,1,4.083333333,3.857142857,2.615384615,Positive
R_2pRJorx0SeDra4T,36,2,2641,4,4,5,5,5,2.75,2.857142857,3.923076923,Positive
